Date,Close,High,Low,Open,Volume,,,,,
2024-04-10,18097.30078,18239.5,17975.83984,18078.89063,83348200,,,,,
2024-04-11,17954.48047,18101.31055,17864.68945,18096.50977,84365100,,,,,
2024-04-12,17930.32031,18162.56055,17860.73047,17965.94922,78993900,,,,,
2024-04-15,18026.58008,18191.94922,17937.61914,17937.61914,65138500,,,,,
2024-04-16,17766.23047,18022.68945,17713.5,18022.16992,73217300,,,,,
2024-04-17,17770.01953,17907.58008,17731.78906,17764.0293,55970700,,,,,
2024-04-18,17837.40039,17863.32031,17716.91992,17775.41016,60700500,,,,,
2024-04-19,17737.35938,17834.86914,17626.90039,17834.83008,79447700,,,,,
2024-04-22,17860.80078,17889.4707,17738.03906,17738.03906,62454400,,,,,
2024-04-23,18137.65039,18144.66016,17861.19922,17861.19922,68529200,,,,,
2024-04-24,18088.69922,18226.32031,18060.25977,18140.18945,75104600,,,,,
2024-04-25,17917.2793,18100.75,17795.96094,18088.16992,101517300,,,,,
2024-04-26,18161.00977,18199.71094,17920.73047,17920.73047,76008600,,,,,
2024-04-29,18118.32031,18235.80078,18103.42969,18162.15039,77251000,,,,,
2024-04-30,17932.16992,18153.68945,17920.7207,18119.92969,88206200,,,,,
2024-05-02,17896.5,17981.03906,17875.98047,17935.7793,71332200,,,,,
2024-05-03,18001.59961,18105.82031,17900.01953,17900.15039,71259900,,,,,
2024-05-06,18175.21094,18199.15039,18001.13086,18001.13086,46036600,,,,,
2024-05-07,18430.05078,18442.40039,18175.21094,18175.21094,85365200,,,,,
2024-05-08,18498.38086,18542.09961,18427.25977,18430.25,74222500,,,,,
2024-05-09,18686.59961,18699.28906,18488.03906,18498.08984,53613600,,,,,
2024-05-10,18772.84961,18845.85938,18686.84961,18686.84961,87914100,,,,,
2024-05-13,18742.2207,18799.76953,18706.08008,18773.24023,66373100,,,,,
2024-05-14,18716.41992,18748.75977,18629.0293,18735.83984,73288600,,,,,
2024-05-15,18869.35938,18892.91992,18719.81055,18719.81055,81628700,,,,,
